station,region,state,station_code,first date,height,longitude,latitude
ITAPIRA,SE,SP,A739,11/5/2007,634.89,-46.80527777,-22.415
SAO JOAO DEL REI,SE,MG,A514,6/9/2006,991,-44.250928,-21.106502
CARMO,SE,RJ,A629,10/11/2018,293,-42.60083333,-21.9386111
XINGUARA,N,PA,A247,9/11/2016,245,-49.92583332,-7.11027777
UBERLANDIA,SE,MG,A507,12/18/2002,874.77,-48.25555555,-18.91694443
CURITIBA,S,PR,A807,1/28/2003,923.5,-49.23055554,-25.43333333
IBIRUBA,S,RS,A883,12/13/2012,456,-53.111881,-28.65333333
MONTEIRO,NE,PB,A334,8/22/2007,606.39,-37.11527777,-7.89138888
DELFINO,NE,BA,A443,7/15/2008,646.24,-41.20694444,-10.45492
IBITINGA,SE,SP,A737,11/9/2007,496.75,-48.66666666,-21.85555555
ITAPACI,CO,GO,A015,2/3/2007,551.16,-49.53944444,-14.97972221
SALVADOR (RADIO FAROL),NE,BA,A456,3/10/2018,31,-38.49583333,-12.80833333
SAO LUIZ GONZAGA,S,RS,A852,7/25/2007,245.5,-54.96222222,-28.41694443
COTRIGUACU,CO,MT,A919,5/28/2007,265,-58.57194443,-9.90611111
PIRANHAS,NE,AL,A371,9/20/2017,187,-37.767113,-9.62222221
URUGUAIANA,S,RS,A809,9/28/2006,74.29,-57.081899,-29.83987
PARACATU,SE,MG,A571,3/16/2018,712,-46.88166666,-17.24416666
CAMBARA DO SUL,S,RS,A897,11/24/2016,1017,-50.14944444,-29.04888888
SETE LAGOAS,SE,MG,A569,6/10/2016,719,-44.17333332,-19.455
ACARAU,NE,CE,A360,4/22/2009,76,-40.08694444,-3.12083332
SANTO ANTONIO DO LESTE,CO,MT,A931,5/30/2008,664.21,-53.8836111,-14.92777777
ITABERABA,NE,BA,A408,1/29/2003,250.11,-40.29972221,-12.51666666
BRASNORTE (MUNDO NOVO),CO,MT,A927,2/29/2008,431,-58.38722221,-12.87194443
TRAMANDAI,S,RS,A834,3/9/2008,4.56,-50.13527777,-30.00972222
